Target,Model,DockQ,CAPRI
7LXT,species_interact_uniprot_sto_3,0.581,2.0
7OI7,sequence_based_template_with_alphafold_0,0.021,0.0
7ALA,ori_temp_pipeline_with_alphafold_models_4,0.014,0.0
7O28,pdb_interact_uniref_a3m_0,0.745,2.0
7NKZ,sequence_based_template_with_alphafold_2,0.824,3.0
7LIV,uniprot_distance_uniprot_sto_2,0.003,0.0
7AOH,pdb_interact_uniref_sto_2,0.907,3.0
7OI7,uniprot_distance_uniprot_sto_1,0.006,0.0
7AOH,custom_template_with_alphafold_models_3,0.699,2.0
7JZY,sequence_based_template_with_alphafold_3,0.082,0.0
7ALA,string_interact_uniref_a3m_3,0.009,0.0
7O27,ori_temp_pipeline_with_alphafold_models_0,0.682,2.0
7NKZ,uniclust_oxmatch_a3m_2,0.910,3.0
7AP8,species_interact_uniref_a3m_4,0.009,0.0
7O27,ori_template_pipeline_3,0.722,2.0
7EKQ,structure_temp_dimer_a_4,0.148,0.0
7KBR,sequence_based_template_with_alphafold_4,0.888,3.0
7D7F,string_interact_uniref_a3m_2,0.007,0.0
7D3Y,string_interact_uniref_a3m_0,0.025,0.0
7LIV,custom_template_file_0,0.011,0.0
7OEL,string_interact_uniref_sto_2,0.724,2.0
7OEL,no_templates_2,0.549,2.0
7EKQ,structure_temp_dimer_3,0.200,0.0
7MRW,no_templates_0,0.068,0.0
7O27,sequence_based_template_2,0.731,2.0
7OI7,string_interact_uniref_a3m_2,0.009,0.0
7KBR,ori_template_pipeline_2,0.913,3.0
7D7F,string_interact_uniprot_sto_0,0.011,0.0
7MJP,species_interact_uniprot_sto_2,0.022,0.0
7OOP,default_0,0.135,0.0
7LXT,pdb_interact_uniref_a3m_0,0.090,0.0
7AOH,structure_temp_dimer_1,0.936,3.0
7LXT,sequence_based_template_3,0.597,2.0
7LIV,sequence_based_template_with_alphafold_3,0.011,0.0
7MRW,species_interact_uniprot_sto_3,0.506,2.0
7OEL,string_interact_uniprot_sto_1,0.722,2.0
7OZN,uniprot_distance_uniprot_sto_4,0.022,0.0
7MJP,ori_template_pipeline_0,0.024,0.0
7AOF,ori_template_pipeline_1,0.069,0.0
7D3Y,string_interact_uniref_a3m_4,0.035,0.0
7EEP,species_interact_uniref_sto_0,0.010,0.0
7OI7,custom_template_file_4,0.087,0.0
7JZY,sequence_based_template_with_alphafold_4,0.079,0.0
7EKQ,structure_temp_dimer_2,0.032,0.0
7AOF,default_4,0.084,0.0
7O28,uniprot_distance_uniref_sto_0,0.707,2.0
7OEL,sequence_based_template_with_alphafold_1,0.702,2.0
7KBR,species_interact_uniprot_sto_3,0.900,3.0
7P3Z,default_2,0.035,0.0
7NKZ,structure_temp_dimer_a_4,0.804,3.0
7LXT,pdb_interact_uniref_sto_1,0.593,2.0
7AOF,species_interact_uniprot_sto_4,0.082,0.0
7EKQ,structure_temp_dimer_a_1,0.151,0.0
7NKZ,species_interact_uniprot_sto_4,0.919,3.0
7OEL,pdb_interact_uniref_sto_1,0.725,2.0
7OZN,structure_temp_dimer_4,0.014,0.0
7OI7,sequence_based_template_2,0.024,0.0
7JZY,no_templates_4,0.032,0.0
7LIV,uniclust_oxmatch_a3m_2,0.005,0.0
7ALA,species_interact_uniprot_sto_4,0.054,0.0
7NKZ,pdb_interact_uniprot_sto_1,0.929,3.0
7O27,species_interact_uniprot_sto_4,0.737,2.0
7MRW,ori_template_pipeline_3,0.589,2.0
7AMV,species_interact_uniref_sto_2,0.868,3.0
7EEL,species_interact_uniref_a3m_1,0.064,0.0
7ALB,ori_temp_pipeline_with_alphafold_models_0,0.006,0.0
7O28,species_interact_uniref_a3m_4,0.742,2.0
7AOH,species_interact_uniref_sto_3,0.901,3.0
7D7F,species_interact_uniprot_sto_1,0.016,0.0
7D3Y,string_interact_uniprot_sto_4,0.020,0.0
7LIV,ori_template_pipeline_2,0.004,0.0
7MJP,uniprot_distance_uniref_sto_2,0.021,0.0
7AP8,structure_temp_dimer_3,0.011,0.0
7ALA,species_interact_uniref_a3m_1,0.009,0.0
7LXT,default_2,0.562,2.0
7O27,structure_temp_dimer_a_1,0.395,1.0
7ALA,species_interact_uniprot_sto_2,0.102,0.0
7D7F,custom_template_file_0,0.006,0.0
7O27,pdb_interact_uniref_a3m_2,0.746,2.0
7EKQ,no_templates_4,0.034,0.0
7LXT,default_4,0.596,2.0
7AOH,no_templates_2,0.649,2.0
7O27,ori_temp_pipeline_with_alphafold_models_4,0.397,1.0
7P3Z,uniclust_oxmatch_a3m_3,0.033,0.0
7AOF,species_interact_uniref_a3m_2,0.096,0.0
7D7F,species_interact_uniref_sto_2,0.007,0.0
7JZY,default_2,0.066,0.0
7EEL,structure_temp_dimer_4,0.016,0.0
7MJP,custom_template_file_2,0.019,0.0
7O28,pdb_interact_uniref_a3m_1,0.742,2.0
7MJP,uniclust_oxmatch_a3m_4,0.016,0.0
7LXT,uniprot_distance_uniprot_sto_0,0.095,0.0
7ALB,default_3,0.007,0.0
7JZY,species_interact_uniprot_sto_4,0.035,0.0
7MRW,species_interact_uniref_a3m_3,0.524,2.0
7KBR,default_2,0.923,3.0
7P3Z,uniprot_distance_uniref_sto_0,0.030,0.0
7AOH,ori_template_pipeline_0,0.895,3.0
7LIV,default_1,0.004,0.0
7MRW,uniclust_oxmatch_a3m_1,0.585,2.0
7MJP,uniprot_distance_uniref_a3m_2,0.021,0.0
7D7F,string_interact_uniref_sto_4,0.006,0.0
7ALB,ori_template_pipeline_1,0.007,0.0
7AP8,sequence_based_template_with_alphafold_2,0.012,0.0
7OI7,species_interact_uniref_a3m_4,0.011,0.0
7OI7,structure_temp_dimer_a_2,0.006,0.0
7L2M,no_templates_0,0.006,0.0
7AOH,custom_template_with_alphafold_models_0,0.747,2.0
7KBR,species_interact_uniref_sto_0,0.937,3.0
7AOH,no_templates_1,0.615,2.0
7AOF,custom_template_with_alphafold_models_1,0.094,0.0
7D7F,string_interact_uniprot_sto_3,0.016,0.0
7OOP,sequence_based_template_with_alphafold_1,0.123,0.0
7ALB,custom_template_file_4,0.007,0.0
7MRW,ori_template_pipeline_0,0.584,2.0
7EEL,uniclust_oxmatch_a3m_4,0.051,0.0
7O27,custom_template_file_2,0.479,1.0
7D7F,species_interact_uniref_sto_0,0.019,0.0
7AMV,custom_template_with_alphafold_models_2,0.818,3.0
7KBR,uniprot_distance_uniref_sto_4,0.909,3.0
7F5B,sequence_based_template_with_alphafold_0,0.009,0.0
7KBR,species_interact_uniref_a3m_0,0.951,3.0
7EEL,custom_template_file_3,0.017,0.0
7P3Z,species_interact_uniprot_sto_4,0.035,0.0
7ALB,string_interact_uniprot_sto_3,0.007,0.0
7EEL,species_interact_uniref_sto_4,0.017,0.0
7EEL,default_1,0.059,0.0
7OZN,uniprot_distance_uniref_sto_3,0.016,0.0
7P3Z,uniprot_distance_uniref_a3m_4,0.033,0.0
7NKZ,no_templates_3,0.827,3.0
7MRW,string_interact_uniref_a3m_0,0.592,2.0
7OOP,sequence_based_template_3,0.120,0.0
7ALA,ori_temp_pipeline_with_alphafold_models_3,0.020,0.0
7P3Z,uniprot_distance_uniref_a3m_1,0.032,0.0
7KBR,uniprot_distance_uniref_sto_0,0.933,3.0
7KBR,species_interact_uniprot_sto_1,0.924,3.0
7EKQ,no_templates_0,0.041,0.0
7EEL,structure_temp_dimer_a_0,0.038,0.0
7P3Z,pdb_interact_uniprot_sto_1,0.031,0.0
7AOF,structure_temp_dimer_0,0.065,0.0
7EKQ,ori_temp_pipeline_with_alphafold_models_0,0.145,0.0
7EEP,uniprot_distance_uniref_a3m_2,0.013,0.0
7NKZ,custom_template_file_1,0.932,3.0
7OZN,uniprot_distance_uniref_a3m_2,0.010,0.0
7F5B,uniprot_distance_uniref_a3m_4,0.009,0.0
7O27,string_interact_uniref_sto_4,0.732,2.0
7ALA,no_templates_4,0.016,0.0
7NKZ,uniprot_distance_uniprot_sto_4,0.915,3.0
7NKZ,no_templates_2,0.819,3.0
7EEP,species_interact_uniref_sto_4,0.008,0.0
7KBR,no_templates_0,0.840,3.0
7OOP,sequence_based_template_1,0.111,0.0
7EEP,uniprot_distance_uniref_a3m_3,0.015,0.0
7OEL,structure_temp_dimer_2,0.696,2.0
7KBR,species_interact_uniref_a3m_2,0.949,3.0
7KBR,species_interact_uniref_sto_2,0.933,3.0
7P3Z,sequence_based_template_with_alphafold_1,0.042,0.0
7NKZ,species_interact_uniref_sto_4,0.919,3.0
7F5B,no_templates_0,0.008,0.0
7KBR,structure_temp_dimer_2,0.893,3.0
7ALA,ori_template_pipeline_3,0.016,0.0
7F5B,string_interact_uniref_sto_3,0.009,0.0
7L2M,custom_template_with_alphafold_models_2,0.026,0.0
7LXT,custom_template_file_2,0.566,2.0
7ALB,uniclust_oxmatch_a3m_4,0.006,0.0
7ALA,pdb_interact_uniprot_sto_0,0.021,0.0
7D7F,uniclust_oxmatch_a3m_4,0.139,0.0
7L2M,structure_temp_dimer_a_1,0.015,0.0
7OOP,default_4,0.155,0.0
7LXT,default_1,0.580,2.0
7EKQ,string_interact_uniref_sto_3,0.030,0.0
7D3Y,uniclust_oxmatch_a3m_2,0.058,0.0
7D7F,pdb_interact_uniref_a3m_1,0.477,1.0
7LIV,uniclust_oxmatch_a3m_0,0.004,0.0
7OEL,uniclust_oxmatch_a3m_4,0.749,2.0
7AP8,species_interact_uniref_sto_3,0.023,0.0
7OZN,uniprot_distance_uniprot_sto_3,0.063,0.0
7AOH,species_interact_uniref_a3m_3,0.835,3.0
7L2M,pdb_interact_uniprot_sto_1,0.014,0.0
7LIV,structure_temp_dimer_a_1,0.009,0.0
7KBR,uniclust_oxmatch_a3m_3,0.947,3.0
7D7F,default_0,0.016,0.0
7P3Z,structure_temp_dimer_1,0.033,0.0
7MRW,species_interact_uniprot_sto_4,0.488,1.0
7AMV,sequence_based_template_0,0.878,3.0
7D7F,uniprot_distance_uniref_a3m_1,0.007,0.0
7OEL,sequence_based_template_0,0.602,2.0
7F5B,no_templates_4,0.008,0.0
7D3Y,species_interact_uniref_a3m_0,0.312,1.0
7D3Y,pdb_interact_uniref_a3m_1,0.026,0.0
7EKQ,custom_template_with_alphafold_models_3,0.148,0.0
7JZY,custom_template_file_1,0.021,0.0
7KBR,string_interact_uniprot_sto_4,0.885,3.0
7MRW,structure_temp_dimer_2,0.005,0.0
7MRW,uniclust_oxmatch_a3m_0,0.595,2.0
7OZN,ori_temp_pipeline_with_alphafold_models_2,0.010,0.0
7AOF,species_interact_uniref_a3m_4,0.084,0.0
7ALB,species_interact_uniref_a3m_3,0.007,0.0
7P3Z,structure_temp_dimer_3,0.031,0.0
7D7F,default_1,0.014,0.0
7D3Y,species_interact_uniref_sto_4,0.141,0.0
7F5B,structure_temp_dimer_3,0.002,0.0
7EEL,uniprot_distance_uniref_a3m_4,0.016,0.0
7OZN,structure_temp_dimer_a_0,0.474,1.0
7KBR,pdb_interact_uniprot_sto_4,0.863,3.0
7AOF,uniprot_distance_uniref_sto_2,0.085,0.0
7ALA,no_templates_0,0.174,0.0
7NKZ,ori_temp_pipeline_with_alphafold_models_0,0.821,3.0
7O27,string_interact_uniref_a3m_0,0.747,2.0
7AOF,pdb_interact_uniref_sto_4,0.044,0.0
7OEL,structure_temp_dimer_a_4,0.696,2.0
7AOH,custom_template_file_2,0.925,3.0
7AMV,sequence_based_template_with_alphafold_3,0.823,3.0
7D7F,pdb_interact_uniprot_sto_0,0.007,0.0
7MJP,species_interact_uniref_sto_3,0.025,0.0
7OEL,sequence_based_template_3,0.604,2.0
7OEL,species_interact_uniprot_sto_4,0.737,2.0
7EEL,sequence_based_template_with_alphafold_4,0.014,0.0
7O28,sequence_based_template_with_alphafold_1,0.709,2.0
7EKQ,default_2,0.030,0.0
7F5B,sequence_based_template_with_alphafold_3,0.008,0.0
7ALB,uniprot_distance_uniprot_sto_1,0.006,0.0
7EKQ,uniprot_distance_uniref_a3m_3,0.018,0.0
7EEL,uniprot_distance_uniprot_sto_4,0.023,0.0
7ALB,structure_temp_dimer_a_2,0.007,0.0
7MRW,string_interact_uniref_sto_3,0.492,2.0
7D3Y,structure_temp_dimer_a_1,0.316,1.0
7L2M,ori_template_pipeline_0,0.013,0.0
7O27,species_interact_uniprot_sto_2,0.737,2.0
7O27,uniprot_distance_uniprot_sto_2,0.702,2.0
7EEL,uniclust_oxmatch_a3m_2,0.050,0.0
7OI7,sequence_based_template_with_alphafold_1,0.006,0.0
7O27,sequence_based_template_4,0.693,2.0
7D7F,structure_temp_dimer_a_0,0.006,0.0
7F5B,string_interact_uniprot_sto_2,0.009,0.0
7ALB,pdb_interact_uniprot_sto_4,0.007,0.0
7AMV,no_templates_0,0.715,2.0
7AP8,ori_temp_pipeline_with_alphafold_models_3,0.012,0.0
7AP8,pdb_interact_uniprot_sto_1,0.027,0.0
7AOF,uniclust_oxmatch_a3m_2,0.112,0.0
7LXT,pdb_interact_uniref_a3m_4,0.017,0.0
7AP8,species_interact_uniprot_sto_0,0.035,0.0
7O28,ori_temp_pipeline_with_alphafold_models_2,0.709,2.0
7MRW,structure_temp_dimer_a_2,0.011,0.0
7LXT,no_templates_0,0.092,0.0
7O27,uniprot_distance_uniref_a3m_3,0.746,2.0
7D7F,no_templates_3,0.016,0.0
7AP8,sequence_based_template_with_alphafold_1,0.009,0.0
7NKZ,ori_temp_pipeline_with_alphafold_models_2,0.824,3.0
7O28,species_interact_uniprot_sto_2,0.742,2.0
7EEL,no_templates_1,0.034,0.0
7OEL,species_interact_uniref_a3m_4,0.742,2.0
7D3Y,sequence_based_template_4,0.012,0.0
7LXT,ori_temp_pipeline_with_alphafold_models_3,0.584,2.0
7EKQ,ori_temp_pipeline_with_alphafold_models_4,0.148,0.0
7D3Y,string_interact_uniref_a3m_2,0.036,0.0
7LIV,species_interact_uniprot_sto_3,0.009,0.0
7O28,string_interact_uniref_a3m_0,0.747,2.0
7O28,ori_template_pipeline_3,0.736,2.0
7ALB,sequence_based_template_with_alphafold_1,0.007,0.0
7O27,string_interact_uniref_sto_1,0.713,2.0
7D3Y,sequence_based_template_2,0.311,1.0
7OEL,no_templates_3,0.500,2.0
7OI7,custom_template_file_3,0.153,0.0
7OEL,pdb_interact_uniprot_sto_0,0.727,2.0
7D7F,sequence_based_template_with_alphafold_3,0.006,0.0
7ALA,species_interact_uniref_sto_2,0.012,0.0
7OEL,uniprot_distance_uniref_a3m_3,0.746,2.0
7MJP,pdb_interact_uniref_sto_1,0.026,0.0
7P3Z,species_interact_uniref_sto_1,0.035,0.0
7O28,uniclust_oxmatch_a3m_0,0.740,2.0
7L2M,custom_template_with_alphafold_models_4,0.012,0.0
7P3Z,structure_temp_dimer_a_2,0.042,0.0
7MJP,uniprot_distance_uniprot_sto_4,0.023,0.0
7ALB,custom_template_file_2,0.007,0.0
7OI7,ori_temp_pipeline_with_alphafold_models_2,0.151,0.0
7MJP,ori_template_pipeline_3,0.023,0.0
7AOH,structure_temp_dimer_3,0.924,3.0
7MJP,custom_template_with_alphafold_models_2,0.014,0.0
7NKZ,species_interact_uniref_sto_3,0.919,3.0
7LXT,string_interact_uniref_sto_1,0.557,2.0
7O27,sequence_based_template_with_alphafold_3,0.673,2.0
7MRW,ori_temp_pipeline_with_alphafold_models_4,0.011,0.0
7EEL,uniprot_distance_uniref_sto_0,0.016,0.0
7MJP,uniprot_distance_uniprot_sto_2,0.021,0.0
7O27,string_interact_uniprot_sto_4,0.716,2.0
7OEL,ori_temp_pipeline_with_alphafold_models_1,0.702,2.0
7EKQ,uniprot_distance_uniref_sto_1,0.029,0.0
7O27,species_interact_uniref_a3m_1,0.742,2.0
7ALB,no_templates_2,0.008,0.0
7D3Y,species_interact_uniref_sto_3,0.080,0.0
7NKZ,uniclust_oxmatch_a3m_3,0.909,3.0
7NKZ,pdb_interact_uniprot_sto_4,0.915,3.0
7KBR,sequence_based_template_4,0.936,3.0
7LIV,uniprot_distance_uniprot_sto_0,0.003,0.0
7MJP,structure_temp_dimer_1,0.022,0.0
7AOF,ori_template_pipeline_3,0.113,0.0
7AP8,structure_temp_dimer_a_0,0.008,0.0
7F5B,structure_temp_dimer_a_0,0.009,0.0
7D3Y,string_interact_uniref_sto_1,0.022,0.0
7AOH,pdb_interact_uniprot_sto_4,0.868,3.0
7MJP,species_interact_uniref_a3m_2,0.017,0.0
7KBR,default_1,0.929,3.0
7OZN,uniprot_distance_uniref_a3m_3,0.010,0.0
7LXT,string_interact_uniref_sto_2,0.548,2.0
7MRW,uniclust_oxmatch_a3m_4,0.597,2.0
7OZN,structure_temp_dimer_2,0.021,0.0
7NKZ,ori_template_pipeline_4,0.920,3.0
7L2M,default_0,0.017,0.0
7EKQ,species_interact_uniprot_sto_2,0.160,0.0
7EKQ,uniprot_distance_uniref_a3m_2,0.026,0.0
7F5B,sequence_based_template_2,0.006,0.0
7ALB,custom_template_with_alphafold_models_0,0.006,0.0
7OZN,custom_template_file_2,0.014,0.0
7F5B,structure_temp_dimer_a_1,0.002,0.0
7AOH,sequence_based_template_2,0.870,3.0
7OI7,no_templates_1,0.013,0.0
7OEL,structure_temp_dimer_a_1,0.702,2.0
7MJP,structure_temp_dimer_a_3,0.014,0.0
7D7F,pdb_interact_uniprot_sto_3,0.006,0.0
7F5B,custom_template_file_4,0.007,0.0
7NKZ,sequence_based_template_2,0.925,3.0
7MJP,pdb_interact_uniref_a3m_3,0.013,0.0
7ALB,string_interact_uniprot_sto_1,0.006,0.0
7MJP,species_interact_uniref_sto_1,0.025,0.0
7EEL,uniprot_distance_uniref_sto_3,0.026,0.0
7AP8,structure_temp_dimer_1,0.017,0.0
7EEL,structure_temp_dimer_a_4,0.014,0.0
7OOP,sequence_based_template_with_alphafold_0,0.116,0.0
7AP8,pdb_interact_uniprot_sto_2,0.034,0.0
7NKZ,sequence_based_template_with_alphafold_1,0.809,3.0
7ALA,structure_temp_dimer_a_4,0.014,0.0
7MJP,string_interact_uniref_sto_0,0.026,0.0
7O28,uniclust_oxmatch_a3m_4,0.744,2.0
7D3Y,species_interact_uniprot_sto_4,0.015,0.0
7O27,ori_template_pipeline_2,0.704,2.0
7OEL,uniprot_distance_uniprot_sto_4,0.733,2.0
7AOH,no_templates_0,0.590,2.0
7D7F,string_interact_uniref_a3m_1,0.007,0.0
7OI7,custom_template_with_alphafold_models_2,0.151,0.0
7EEL,sequence_based_template_2,0.017,0.0
7NKZ,no_templates_1,0.856,3.0
7MRW,custom_template_file_1,0.007,0.0
7P3Z,sequence_based_template_with_alphafold_4,0.037,0.0
7OZN,string_interact_uniref_a3m_0,0.010,0.0
7ALB,ori_temp_pipeline_with_alphafold_models_3,0.007,0.0
7OEL,species_interact_uniref_a3m_1,0.749,2.0
7AOF,ori_template_pipeline_0,0.065,0.0
7D7F,uniprot_distance_uniprot_sto_2,0.016,0.0
7OI7,ori_template_pipeline_3,0.007,0.0
7ALB,sequence_based_template_with_alphafold_4,0.007,0.0
7JZY,ori_temp_pipeline_with_alphafold_models_4,0.082,0.0
7EKQ,pdb_interact_uniref_a3m_2,0.018,0.0
7O27,string_interact_uniprot_sto_3,0.711,2.0
7OEL,string_interact_uniprot_sto_2,0.726,2.0
7KBR,ori_temp_pipeline_with_alphafold_models_3,0.866,3.0
7AOF,structure_temp_dimer_3,0.071,0.0
7O27,uniprot_distance_uniref_a3m_2,0.761,2.0
7KBR,string_interact_uniref_a3m_0,0.949,3.0
7AOF,sequence_based_template_3,0.101,0.0
7AMV,ori_template_pipeline_4,0.874,3.0
7D3Y,custom_template_file_4,0.010,0.0
7O28,ori_template_pipeline_0,0.736,2.0
7AOF,structure_temp_dimer_1,0.063,0.0
7ALA,string_interact_uniprot_sto_0,0.010,0.0
7LIV,uniclust_oxmatch_a3m_3,0.004,0.0
7D7F,sequence_based_template_4,0.006,0.0
7AMV,sequence_based_template_with_alphafold_4,0.826,3.0
7OOP,structure_temp_dimer_1,0.118,0.0
7OOP,string_interact_uniref_a3m_3,0.148,0.0
7OZN,ori_template_pipeline_4,0.031,0.0
7D3Y,default_3,0.022,0.0
7NKZ,default_3,0.915,3.0
7NKZ,species_interact_uniref_a3m_0,0.757,2.0
7L2M,custom_template_with_alphafold_models_3,0.026,0.0
7D7F,default_2,0.014,0.0
7AP8,no_templates_3,0.015,0.0
7LXT,species_interact_uniref_a3m_1,0.091,0.0
7OEL,custom_template_file_2,0.696,2.0
7ALB,default_2,0.006,0.0
7ALA,ori_template_pipeline_2,0.017,0.0
7AMV,structure_temp_dimer_a_0,0.824,3.0
7O27,pdb_interact_uniref_a3m_4,0.746,2.0
7AOH,custom_template_file_3,0.923,3.0
7D3Y,ori_temp_pipeline_with_alphafold_models_2,0.324,1.0
7KBR,species_interact_uniref_sto_4,0.924,3.0
7EKQ,sequence_based_template_2,0.162,0.0
7D7F,ori_temp_pipeline_with_alphafold_models_4,0.006,0.0
7OOP,sequence_based_template_0,0.119,0.0
7EEL,uniprot_distance_uniref_sto_1,0.024,0.0
7AOH,uniprot_distance_uniprot_sto_0,0.890,3.0
7EEL,ori_temp_pipeline_with_alphafold_models_4,0.014,0.0
7MJP,pdb_interact_uniref_a3m_0,0.023,0.0
7L2M,structure_temp_dimer_a_3,0.026,0.0
7AOF,uniprot_distance_uniref_a3m_2,0.056,0.0
7JZY,custom_template_with_alphafold_models_3,0.084,0.0
7OZN,species_interact_uniref_sto_2,0.017,0.0
7MRW,custom_template_with_alphafold_models_0,0.006,0.0
7ALB,custom_template_with_alphafold_models_2,0.007,0.0
7NKZ,species_interact_uniref_sto_1,0.931,3.0
7MRW,sequence_based_template_with_alphafold_4,0.011,0.0
7AMV,default_1,0.873,3.0
7F5B,string_interact_uniref_sto_1,0.008,0.0
7D3Y,uniprot_distance_uniref_sto_3,0.019,0.0
7EEP,structure_temp_dimer_2,0.007,0.0
7JZY,custom_template_file_4,0.037,0.0
7D7F,pdb_interact_uniref_sto_0,0.007,0.0
7EEL,ori_temp_pipeline_with_alphafold_models_0,0.038,0.0
7JZY,custom_template_with_alphafold_models_1,0.059,0.0
7ALA,uniprot_distance_uniprot_sto_2,0.011,0.0
7EKQ,uniprot_distance_uniref_sto_2,0.037,0.0
7O27,species_interact_uniref_a3m_4,0.761,2.0
7OZN,species_interact_uniprot_sto_1,0.023,0.0
7KBR,string_interact_uniref_a3m_3,0.948,3.0
7OOP,species_interact_uniprot_sto_3,0.113,0.0
7D7F,string_interact_uniprot_sto_4,0.009,0.0
7NKZ,pdb_interact_uniref_sto_0,0.927,3.0
7KBR,ori_temp_pipeline_with_alphafold_models_2,0.922,3.0
7EEL,ori_template_pipeline_2,0.017,0.0
7F5B,no_templates_2,0.002,0.0
7P3Z,string_interact_uniprot_sto_0,0.032,0.0
7LXT,pdb_interact_uniref_a3m_2,0.090,0.0
7MRW,custom_template_file_4,0.007,0.0
7OEL,uniprot_distance_uniref_a3m_0,0.756,2.0
7LXT,string_interact_uniref_a3m_4,0.021,0.0
7D3Y,uniprot_distance_uniref_sto_1,0.309,1.0
7L2M,structure_temp_dimer_1,0.010,0.0
7LIV,uniclust_oxmatch_a3m_4,0.005,0.0
7LXT,uniprot_distance_uniref_sto_4,0.104,0.0
7D3Y,custom_template_with_alphafold_models_2,0.324,1.0
7D3Y,uniprot_distance_uniref_a3m_4,0.165,0.0
7OI7,uniclust_oxmatch_a3m_2,0.018,0.0
7ALA,uniclust_oxmatch_a3m_1,0.009,0.0
7O27,string_interact_uniprot_sto_1,0.700,2.0
7F5B,ori_template_pipeline_3,0.007,0.0
7O27,structure_temp_dimer_a_4,0.397,1.0
7EEP,uniprot_distance_uniref_sto_4,0.008,0.0
7L2M,ori_temp_pipeline_with_alphafold_models_3,0.026,0.0
7D7F,string_interact_uniref_sto_3,0.016,0.0
7OOP,structure_temp_dimer_a_4,0.113,0.0
7O28,ori_temp_pipeline_with_alphafold_models_1,0.709,2.0
7O28,sequence_based_template_1,0.718,2.0
7D3Y,pdb_interact_uniref_a3m_4,0.035,0.0
7L2M,ori_template_pipeline_3,0.012,0.0
7MRW,string_interact_uniref_sto_1,0.597,2.0
7AOH,ori_temp_pipeline_with_alphafold_models_0,0.747,2.0
7OEL,default_2,0.716,2.0
7MJP,ori_temp_pipeline_with_alphafold_models_1,0.015,0.0
7LXT,species_interact_uniprot_sto_2,0.558,2.0
7OZN,string_interact_uniref_a3m_2,0.010,0.0
7MJP,uniprot_distance_uniprot_sto_0,0.024,0.0
7ALB,pdb_interact_uniref_sto_2,0.007,0.0
7ALA,ori_template_pipeline_4,0.017,0.0
7OZN,custom_template_file_4,0.016,0.0
7O27,sequence_based_template_3,0.631,2.0
7O28,pdb_interact_uniref_a3m_2,0.742,2.0
7O28,ori_template_pipeline_4,0.749,2.0
7P3Z,default_3,0.029,0.0
7AMV,sequence_based_template_1,0.878,3.0
7AMV,structure_temp_dimer_a_1,0.809,3.0
7OI7,species_interact_uniprot_sto_2,0.013,0.0
7D7F,pdb_interact_uniprot_sto_2,0.007,0.0
7OOP,species_interact_uniprot_sto_2,0.131,0.0
7O27,sequence_based_template_1,0.728,2.0
7EEP,sequence_based_template_2,0.015,0.0
7LIV,structure_temp_dimer_a_0,0.008,0.0
7AP8,uniprot_distance_uniprot_sto_1,0.020,0.0
7NKZ,pdb_interact_uniref_sto_4,0.909,3.0
7EEL,structure_temp_dimer_0,0.036,0.0
7JZY,custom_template_file_0,0.037,0.0
7OEL,string_interact_uniref_a3m_4,0.739,2.0
7AP8,custom_template_with_alphafold_models_0,0.008,0.0
7OEL,string_interact_uniprot_sto_4,0.727,2.0
7OEL,custom_template_file_3,0.705,2.0
7OOP,default_1,0.119,0.0
7EKQ,sequence_based_template_with_alphafold_2,0.150,0.0
7JZY,ori_template_pipeline_0,0.043,0.0
7EEP,ori_temp_pipeline_with_alphafold_models_4,0.007,0.0
7O27,default_1,0.705,2.0
7OZN,string_interact_uniref_sto_2,0.015,0.0
7P3Z,uniprot_distance_uniref_sto_2,0.030,0.0
7MJP,ori_temp_pipeline_with_alphafold_models_0,0.018,0.0
7D7F,pdb_interact_uniprot_sto_1,0.006,0.0
7EKQ,uniprot_distance_uniref_a3m_0,0.018,0.0
7OZN,pdb_interact_uniref_sto_0,0.266,1.0
7EKQ,string_interact_uniprot_sto_3,0.154,0.0
7D7F,custom_template_with_alphafold_models_3,0.006,0.0
7OEL,uniprot_distance_uniref_a3m_4,0.743,2.0
7P3Z,string_interact_uniref_sto_3,0.037,0.0
7AP8,custom_template_file_1,0.017,0.0
7MJP,default_4,0.020,0.0
7O28,custom_template_file_2,0.712,2.0
7EEL,custom_template_file_2,0.035,0.0
7O27,uniclust_oxmatch_a3m_2,0.744,2.0
7KBR,ori_template_pipeline_3,0.909,3.0
7MJP,species_interact_uniprot_sto_4,0.020,0.0
7D7F,species_interact_uniref_a3m_0,0.007,0.0
7EKQ,sequence_based_template_with_alphafold_1,0.151,0.0
7EEP,uniprot_distance_uniref_a3m_0,0.017,0.0
7KBR,uniclust_oxmatch_a3m_2,0.949,3.0
7MJP,structure_temp_dimer_a_1,0.015,0.0
7F5B,uniprot_distance_uniref_a3m_3,0.011,0.0
7D7F,species_interact_uniprot_sto_3,0.018,0.0
7OZN,species_interact_uniprot_sto_2,0.013,0.0
7KBR,string_interact_uniref_sto_1,0.932,3.0
7O27,ori_template_pipeline_0,0.706,2.0
7AOF,species_interact_uniref_sto_3,0.044,0.0
7AOH,species_interact_uniref_a3m_2,0.875,3.0
7EEP,uniprot_distance_uniprot_sto_0,0.010,0.0
7F5B,pdb_interact_uniref_a3m_4,0.009,0.0
7NKZ,structure_temp_dimer_a_0,0.821,3.0
7OZN,pdb_interact_uniref_sto_4,0.011,0.0
7EEL,sequence_based_template_with_alphafold_2,0.013,0.0
7LXT,string_interact_uniprot_sto_0,0.555,2.0
